month,sales,median_price,total_crimes
2025-01,268,357500.0,2138
2025-02,300,355000.0,1859
2025-03,514,380000.0,2178
2025-04,158,304000.0,2286
2025-05,247,355000.0,2344
2025-06,252,348500.0,2429
2025-07,263,332000.0,2600
2025-08,212,325000.0,2394
2025-09,232,344250.0,2210
2025-10,262,360000.0,2198
2025-11,268,325500.0,2087
2025-12,194,352500.0,1927
